2023-08-11 11:40:33.7335 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7483 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7483 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7483 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7483 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7483 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7483 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7645 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7645 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7645 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7645 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7645 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7799 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7799 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7799 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7799 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7799 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7799 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7960 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7960 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7960 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7960 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.7960 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8115 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8115 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8115 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8115 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8115 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8115 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8265 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8265 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8265 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8265 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8265 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8430 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8430 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8430 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8430 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8600 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8600 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8600 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8600 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8600 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8743 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8743 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8743 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8743 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8743 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8890 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8890 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8890 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8890 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8890 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.8890 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9054 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9054 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9054 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9054 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9203 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9203 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9203 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9203 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9203 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9203 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9364 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9364 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9364 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9364 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9364 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9523 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9523 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9523 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9523 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9523 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9682 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9682 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9682 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9682 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9682 Info NLogTest.RobotArm - Disconnecting from robot arm
2023-08-11 11:40:33.9829 Info NLogTest.RobotArm - Disconnecting from robot arm
